iter	Passed	Remaining
0	38	7585
1	94	9381
2	176	11580
3	237	11613
4	279	10912
5	314	10183
6	351	9691
7	386	9287
8	428	9102
9	470	8939
10	514	8836
11	557	8728
12	600	8631
13	643	8542
14	681	8410
15	725	8338
16	767	8266
17	810	8197
18	847	8072
19	884	7962
20	919	7834
21	954	7720
22	987	7600
23	1023	7503
24	1057	7402
25	1092	7312
26	1126	7215
27	1160	7128
28	1195	7050
29	1233	6990
30	1271	6929
31	1305	6852
32	1338	6774
33	1371	6696
34	1407	6634
35	1443	6574
36	1477	6507
37	1512	6446
38	1548	6392
39	1578	6314
40	1613	6255
41	1646	6195
42	1683	6145
43	1719	6096
44	1753	6038
45	1787	5982
46	1824	5938
47	1859	5886
48	1894	5838
49	1930	5791
50	1970	5757
51	2008	5716
52	2041	5661
